"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:37.211","Waiting for next wakeup from reducer or completion of one of outstanding actions: ['kick (BG18007)']","box-conveyor-b-r2-7b5486cf9c-p7xx4"
"Aug 13, 2025 @ 15:49:37.410","Completing action","box-conveyor-b-r2-7b5486cf9c-p7xx4"
"Aug 13, 2025 @ 15:49:37.411","{""message_type"": ""box_conveyor_pressure_released"", ""event_time"": 1755114577.4114842, ""shuttle_name"": ""shuttleB"", ""box_identifier"": ""BG18007"", ""region_name"": ""R2"", ""chute_number"": 12}","box-conveyor-b-r2-7b5486cf9c-p7xx4"
"Aug 13, 2025 @ 15:49:37.422","reason for wakeup: pressure_released","transport-b-r1-79d56d7d68-cqjn8"
"Aug 13, 2025 @ 15:49:37.422","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r1-79d56d7d68-cqjn8"
"Aug 13, 2025 @ 15:49:37.422","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.422","reason for wakeup: pressure_released","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.423","Starting remove box (BG18007 @ R2/12)","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.423","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.423","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.423","Kick box removal starting for: BG18007","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.424","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.424","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.424","{""message_type"": ""shuttle_position"", ""event_time"": 1755114577.423693, ""shuttle_name"": ""shuttleB"", ""is_home"": false, ""home_estimate"": null}","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.425","Awaiting box removal","box-conveyor-b-r2-7b5486cf9c-p7xx4"
"Aug 13, 2025 @ 15:49:37.436","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
